urn,la_code,local_authority_ons_name,region_code,ofsted_ilacs_scrape_la_name,rgn22cd,rgn22nm,lad22cd,ltla23cd,ltla23nm,ltla23nmw,utla23cd,utla23nm,country,parliamentary_constituency,ofsted_region,gov_office_region
80576,937,Warwickshire,SE,Warwickshire,E12000005,West Midlands,,E10000031,Warwickshire,,E10000031,Warwickshire,England,Foyle,South East,South East
80577,869,West Berkshire,NW,West Berkshire,E12000008,South East,E06000037,E06000037,West Berkshire,,E06000037,West Berkshire,England,Fermanagh and South Tyrone,North West,North West
80578,938,West Sussex,SW,West Sussex,E12000008,South East,,E10000032,West Sussex,,E10000032,West Sussex,England,Lagan Valley,South West,South West
80579,359,Wigan,SE,Wigan,E12000002,North West,E08000010,E08000010,Wigan,,E08000010,Wigan,England,East Antrim,South East,South East
80580,865,Wiltshire,NW,Wiltshire,E12000009,South West,E06000054,E06000054,Wiltshire,,E06000054,Wiltshire,England,Mid Ulster,North West,North West
80581,344,Wirral,SE,Wirral,E12000002,North West,E08000015,E08000015,Wirral,,E08000015,Wirral,England,South Down,South East,South East
80582,872,Wokingham,WM,Wokingham,E12000008,South East,E06000041,E06000041,Wokingham,,E06000041,Wokingham,England,Wokingham,West Midlands,West Midlands
80583,336,Wolverhampton,WM,Wolverhampton,E12000005,West Midlands,E08000031,E08000031,Wolverhampton,,E08000031,Wolverhampton,England,Wolverhampton North East,West Midlands,West Midlands
80584,885,Worcestershire,YH,Worcestershire,E12000005,West Midlands,,E10000034,Worcestershire,,E10000034,Worcestershire,England,Multiple Constituencies,Yorkshire and the Humber,Yorkshire and the Humber
121939,928,Northamptonshire,NW,,E12000004,East Midlands,,E10000021,Northamptonshire,,E10000021,Northamptonshire,England,Multiple Constituencies,North West,England
135513,909,Cumbria,SE,,E12000002,North West,,E10000006,Cumbria,,E10000006,Cumbria,England,Multiple Constituencies,South East,England
137316,836,Poole,SW,,E12000009,South West,,E06000029,Poole,,E06000029,Poole,England,Poole,South West,England
2532287,839,"Bournemouth, Christchurch and Poole",SE,"Bournemouth, Christchurch and Poole",E12000009,South West,E06000058,E06000058,"Bournemouth, Christchurch and Poole",,E06000058,"Bournemouth, Christchurch and Poole",England,Bournemouth East,South East,England
942,942,Cumberland,NW,,E12000002,North West,,E10000006,Cumbria,,E10000006,Cumbria,England,Multiple Constituencies,North West,England
943,943,Westmorland and Furness,NW,,E12000002,North West,,E10000006,Cumbria,,E10000006,Cumbria,England,Westmorland and Lonsdale,North West,England
